Period,State-Short,State,Population
1/9/2015,AU,Australia,23904271
1/12/2015,AU,Australia,23984581
1/3/2016,AU,Australia,24103425
1/6/2016,AU,Australia,24190907
1/9/2016,AU,Australia,24297530
1/12/2016,AU,Australia,24385064
1/3/2017,AU,Australia,24511409
1/6/2017,AU,Australia,24592588
1/9/2017,AU,Australia,24690071
1/12/2017,AU,Australia,24759018
1/3/2018,AU,Australia,24881751
1/6/2018,AU,Australia,24963258
1/9/2018,AU,Australia,25067399
1/12/2018,AU,Australia,25146140
1/3/2019,AU,Australia,25264932
1/6/2019,AU,Australia,25334826
1/9/2019,AU,Australia,25438073
1/12/2019,AU,Australia,25520468
1/3/2020,AU,Australia,25627924
1/6/2020,AU,Australia,25649248
1/9/2020,AU,Australia,25633341
1/12/2020,AU,Australia,25630698
1/3/2021,AU,Australia,25653005
1/6/2021,AU,Australia,25685412
1/9/2021,AU,Australia,25704774
1/12/2021,AU,Australia,25773795
1/3/2022,AU,Australia,25912977
1/6/2022,AU,Australia,26018721
1/9/2022,AU,Australia,26169314
1/12/2022,AU,Australia,26320285
1/3/2023,AU,Australia,26514302
1/6/2023,AU,Australia,26659922
1/9/2023,AU,Australia,26831131
1/12/2023,AU,Australia,26956660
1/3/2024,AU,Australia,27113517
1/6/2024,AU,Australia,27193790
1/9/2024,AU,Australia,27303494
1/12/2024,AU,Australia,27392636
1/3/2025,AU,Australia,27536874
1/9/2015,ACT,Australian Capital Territory,397540
1/12/2015,ACT,Australian Capital Territory,398874
1/3/2016,ACT,Australian Capital Territory,401673
1/6/2016,ACT,Australian Capital Territory,403104
1/9/2016,ACT,Australian Capital Territory,406040
1/12/2016,ACT,Australian Capital Territory,408878
1/3/2017,ACT,Australian Capital Territory,413017
1/6/2017,ACT,Australian Capital Territory,415046
1/9/2017,ACT,Australian Capital Territory,417964
1/12/2017,ACT,Australian Capital Territory,420226
1/3/2018,ACT,Australian Capital Territory,423810
1/6/2018,ACT,Australian Capital Territory,426081
1/9/2018,ACT,Australian Capital Territory,428417
