s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,114829062,7727829572,86500909,28328153,5179349247,2548480325,0.753301538,91.09416733,8554919940,10625321357,5175607399,5449713958
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,38181360,2580593389,29364088,8817272,1777901075,802692314.4,0.769068676,99.39240083,2859705727,3531303192,1776801972,1754501220
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,29895991,1994742645,22656430,7239561,1342085955,652656690.2,0.757841745,89.72290883,2204377766,2722039859,1341020220,1381019638
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,23621066,1593987146,17709167,5911899,1069818221,524168925.2,0.749719213,88.88486377,1762033532,2196214814,1069049439,1127165376
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,7726187,525609968.1,5663681,2062506,337434734.4,188175233.7,0.733049951,79.08629493,585032737.8,713749361,337131197.4,376618163.7
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,10879303,735527410.4,7835085,3044218,467558129.3,267969281.1,0.720182626,83.78841796,815356040.5,1026567340,467198675,559368665.4
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,2207687,146145629.2,1621389,586298,92472169.95,53673459.25,0.734428839,81.30758041,162331282.5,203224267.9,92415463.5,110808804.4
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,713740,47082870.86,596301,117439,36831642.85,10251228.01,0.835459691,79.89472402,51220147.92,59689522.59,36812197.75,22877324.84
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,1587563,103127653.7,1039276,548287,54293671.95,48833981.73,0.654636068,103.1130611,113781810.6,171469933.5,54226099.1,117243834.4
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Total Medicare,16165,1012858.8,15492,673,953647.05,59211.75,0.958366842,103.9982574,1080895.85,1063067.28,952136,110931.28
